MWSC,Name,Type_n_Type,RAhour,RA,DEC,GLON,GLAT,r0,r1,r2,pmRA,pmDE,e_pm,RV,e_RV,o_RV,N1sr0,N1sr1,N1sr2,d,E(B-V),MOD,E(J-Ks),E(J-H),dH,logt,e_logt,Nt,rc,e_rc,rt,e_rt,k,e_k,Src,SType,[Fe/H],e_[Fe/H],o_[Fe/H]
3179,FSR_0085,ro,19.787,296.80500984191895,-11.855,28.394,-17.667,0.015,0.07,0.115,-1.41,-5.88,0.47,999.99,99.99,0,3,25,51,1338.0,0.208,10.699,0.1,0.067,-0.03,9.375,0.0,-1,0.41,0.13,6.06,2.1,13.68,4.23,FPOS,-,99.999,9.99,-
3183,NGC_6832,ro,19.7993,296.98948860168457,59.398,91.963,16.372,0.015,0.055,0.11,0.05,2.8,0.78,999.99,99.99,0,2,9,22,3095.0,0.146,12.5,0.07,0.047,-0.015,9.285,0.0,-1,0.73,0.28,12.19,4.84,2.02,0.94,DIAS,non,99.999,9.99,-
3201,ASCC_108,ro,19.897,298.4549903869629,39.4,74.477,6.002,0.018,0.08,0.14,-0.6,-0.37,0.68,999.99,99.99,0,2,26,91,1039.0,0.05,10.099,0.024,0.016,0.0,8.425,0.0,-1,0.82,0.37,3.86,1.58,5.68,1.64,COCD,-,99.999,9.99,-
3203,NGC_6839,ro,19.911,298.66498947143555,17.87,56.064,-5.205,0.02,0.085,0.155,1.15,-7.87,0.33,999.99,99.99,0,7,65,174,5588.0,0.354,13.85,0.17,0.113,0.0,9.3,0.0,-1,4.79,0.87,17.86,2.08,0.64,0.09,DIAS,non,99.999,9.99,-
3204,BDSB_16,ro,19.9167,298.7505054473877,27.216,64.131,-0.465,0.01,0.035,0.06,-7.22,-5.4,0.81,999.99,99.99,0,1,10,38,1951.0,1.083,11.8,0.52,0.347,0.0,7.55,0.0,-1,0.58,0.24,2.65,0.87,7.3,2.4,BOPN,irc,99.999,9.99,-
3212,Loiano_1,ro,19.9715,299.57250595092773,32.55,69.059,1.699,0.01,0.05,0.08,-4.33,-3.53,0.43,999.99,99.99,0,4,38,105,1447.0,0.614,11.0,0.295,0.197,-0.03,8.9,0.0,-1,0.72,0.17,4.48,1.01,12.35,1.87,DIAS,-,99.999,9.99,-
3217,Patchick_89,ro,19.993,299.8950004577637,49.285,83.619,10.111,0.01,0.06,0.095,-2.28,-3.63,0.45,999.99,99.99,0,2,15,27,3260.0,0.416,12.7,0.2,0.133,0.0,9.2,0.0,-1,1.11,0.32,12.12,3.74,2.43,0.61,DIAS,-,99.999,9.99,-
3219,FSR_0163,ro,20.0058,300.08700370788574,25.42,63.222,-2.423,0.01,0.06,0.11,-0.92,-4.69,0.54,999.99,99.99,0,1,26,87,3412.0,1.041,13.0,0.5,0.333,0.0,8.55,0.0,-1,0.95,0.35,15.49,6.45,1.95,0.73,DIAS,irc,99.999,9.99,-
3231,Dolidze_36,ro,20.041,300.61500549316406,42.165,77.707,6.024,0.01,0.07,0.11,0.7,-2.44,0.45,77.0,14.1,1,2,27,51,970.0,0.208,10.001,0.1,0.067,-0.02,8.92,0.0,1,0.41,0.17,4.28,1.97,9.54,3.21,COCD,-,99.999,9.99,-
3236,FSR_0241,ro,20.0485,300.72750091552734,46.195,81.217,8.053,0.01,0.045,0.1,-0.6,-0.09,0.84,999.99,99.99,0,2,9,36,1037.0,0.062,10.099,0.03,0.02,0.0,9.1,0.0,-1,0.21,0.08,3.4,1.38,48.02,17.58,FPOS,-,99.999,9.99,-
